rms_id,category,title,verdict,flags,imgW,imgH,frameCoverage,solvedScale,unclampedScale,url
2987,serveware,"VINTAGE SILVER GOBLETS",BROKEN,MEASURE_FAIL|LOW_RES,82,210,1.000,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/serveware/PARIS%20Goblet.png
2304,pillows-throws,"ORANGE VELVET QUILTED PILLOW",BROKEN,MEASURE_FAIL|LOW_RES,319,228,1.000,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/PILLOWS/Orange%20Velvet%20Quilted.png
330,tables,"PEBBLE SIDE TABLE",BROKEN,MEASURE_FAIL|LOW_RES,269,202,1.000,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/tables/side-tables/PEBBLE%20Side%20Table%200.png
2364,pillows-throws,"PENDLETON RED YELLOW THROW",BROKEN,LOW_RES|CLAMP_MASSIVE,400,300,0.588,0.750,0.602,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/throws/PENDLETON%20Red%20%26%20Yellow%200.PNG
1614,pillows-throws,"PENDLETON ZIG ZAG THROW",BROKEN,LOW_RES|CLAMP_MASSIVE,400,300,0.524,0.750,0.637,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/throws/PENDLETON%20Myan%201.PNG
2362,pillows-throws,"PENDLETON GREY CROSS THROW",AT_RISK,LOW_RES,400,300,0.404,0.750,0.726,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/throws/PENDLETON%20Cross%200.png
2991,pillows-throws,"PENDLETON GREY PLAID THROW",BROKEN,MEASURE_FAIL|OPAQUE_BG|LOW_RES,210,255,1.000,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/throws/PENDLETON%20Grey%20Plaid.png
3063,tables,"PIERCE FRENCH ANTIQUE CONSOLE",BROKEN,MEASURE_FAIL|LOW_RES,378,138,1.000,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/tables/console-tables/PIERCE.png
788,bars,"PICKFORD CONCRETE & SPLIT WOOD BAR",PASS,,1448,1086,0.396,0.955,0.955,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/squarespace-mirror/inventory/788/4c9ca164333d172c.png
34,seating,"PHILLIPE GREY SILK LOVESEAT",AT_RISK,LOW_RES,598,598,0.669,0.848,0.848,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/squarespace-mirror/lounge/phillipe/01-PHILLIPE_Loveseat_0.png
2905,pillows-throws,"PLAID BLACK + WHITE THROW",BROKEN,MEASURE_FAIL|LOW_RES,239,294,0.997,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/throws/PLAID%20Black%20White.png
2363,pillows-throws,"PENDLETON SAND MAYAN THROW",BROKEN,LOW_RES|CLAMP_MASSIVE,800,600,0.574,0.750,0.609,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/squarespace-mirror/textiles/pendleton-sand-mayan-throw/01-PENDLETON_Sand_Myan.png
2881,styling,"PLINEY H FRAME EASEL",BROKEN,MEASURE_FAIL|LOW_RES,96,291,0.979,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/styling/PLINY%20Easel.png
76,seating,"POE DECONSTRUCTED LEATHER CHAIR",BROKEN,MEASURE_FAIL|LOW_RES,212,276,1.000,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/seating/chair-lounge/POE%20Chair%200.png
2419,pillows-throws,"PINK BLACK ABSTRACT LUMBAR PILLOW",BROKEN,MEASURE_FAIL|LOW_RES,376,219,0.992,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/PILLOWS/Pink%20Black%20Lumbar.png
3217,pillows-throws,"PINK WILD LYNX VELVET PILLOW",BROKEN,LOW_RES|CLAMP_MASSIVE,400,300,0.761,0.750,0.529,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/squarespace-mirror/textiles/wild-lynx-blush-pillow/01-Wild_Lynx_Blush.png
4179,pillows-throws,"PLAID RED THROW",BROKEN,LOW_RES|CLAMP_MASSIVE,800,600,0.772,0.750,0.525,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/inventory/THROWS/PLAID Red + Blue.png
2305,pillows-throws,"PURPLE PLUM VELVET PILLOW",BROKEN,MEASURE_FAIL|LOW_RES,264,252,1.000,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/PILLOWS/Purple%20Plum%20Velour.png
3394,tableware,"QUINN ANTIQUE BONE FLATWARE",BROKEN,MEASURE_FAIL|LOW_RES,221,290,1.000,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/tablewear/flatware/QUINN%20Set.png
2885,serveware,"POSH MARBLE S+P CELLAR",BROKEN,MEASURE_FAIL|LOW_RES,257,231,0.996,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/serveware/POSH%20Salt%20and%20Pepper.png
3168,serveware,"POWEL DARK BRASS TRAY",BROKEN,LOW_RES|CLAMP_MASSIVE,800,600,0.622,0.750,0.446,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/POWELL_Set.png
2418,pillows-throws,"PURPLE LIGHT VELVET PILLOW",BROKEN,MEASURE_FAIL|LOW_RES,280,267,0.996,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/PILLOWS/Purple%20Pale%20Velvet.PNG
2412,pillows-throws,"RED VELVET PILLOW",BROKEN,MEASURE_FAIL|LOW_RES,235,216,1.000,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/PILLOWS/Red%20Velvet.png
2917,pillows-throws,"RED TAN PLAID OVERSIZE LUMBAR",BROKEN,MEASURE_FAIL|LOW_RES,393,200,0.970,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/PILLOWS/Red%20Tan%20Plaid%20Lumbar%20Oversize.png
2784,pillows-throws,"RED WHITE WIDE TICKING STRIPE PILLOW",BROKEN,MEASURE_FAIL|LOW_RES,260,249,1.000,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/PILLOWS/Red%20White%20Wide%20Ticking.png
2785,pillows-throws,"RED WHITE EDGE TICKING STRIPE PILLOW",BROKEN,MEASURE_FAIL|LOW_RES,258,253,1.000,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/PILLOWS/Red%20White%20Edge%20Ticking.png
2781,pillows-throws,"RED WHITE TICKING STRIPE PILLOW",BROKEN,MEASURE_FAIL|LOW_RES,286,250,1.000,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/PILLOWS/Red%20White%20Ticking.png
4155,pillows-throws,"RED ZEBRA VELVET LUMBAR PILLOW",BROKEN,MEASURE_FAIL|LOW_RES,394,168,1.000,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/PILLOWS/Red%20Zebra%20Lumbar.png
4097,bars,"RELIC LIMESTONE COLUMN",PASS,,1448,1086,0.305,0.913,0.913,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/squarespace-mirror/inventory/4097/e0bb2ab5fa05412f.png
2766,lighting,"REGINA BRASS TABLE LAMP",BROKEN,MEASURE_FAIL|LOW_RES,227,235,0.996,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/lighting/lamp/REGINA%20Table%20Lamp.png
1480,styling,"RAVINDRA WIRE & LEATHER BASKET",BROKEN,MEASURE_FAIL|LOW_RES,337,132,0.989,,,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/incoming-photos/styling/RAVINDRA%20Basket%20Pair.png
