rms_id,title,category,status_class,current_hero_url,current_hero_path,current_in_storage,current_dupe_count,proposed_hero_url,proposed_source,proposed_confidence
3090,Blue Light Velvet Lumbar Pillow,pillows-throws,SHARED_BREAK,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/PILLOWS/Blue Green Lumbar.png,PILLOWS/Blue Green Lumbar.png,false,13,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/inventory/PILLOWS/Blue%20Velvet.png,storage_exact,high
2235,Blue Native Pillow,pillows-throws,SHARED_BREAK,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/PILLOWS/Blue Green Lumbar.png,PILLOWS/Blue Green Lumbar.png,false,13,https://images.squarespace-cdn.com/content/v1/57239bd5f8baf385ff553066/2e78d60e-60fe-4f70-a8b1-ee63cebdda63/Blue+Navajo.png,squarespace_exact_title,high
3196,Blue Ombre Fringe Oversize Lumbar Pillow,pillows-throws,SHARED_BREAK,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/PILLOWS/Blue Green Lumbar.png,PILLOWS/Blue Green Lumbar.png,false,13,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/inventory/PILLOWS/Blue%20Green%20Lumbar.png,storage_partial,medium
2413,Blue Red Native Pillow,pillows-throws,SHARED_BREAK,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/PILLOWS/Blue Green Lumbar.png,PILLOWS/Blue Green Lumbar.png,false,13,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/inventory/THROWS/PLAID%20Red%20%2B%20Blue.png,storage_partial,medium
3100,Blue Turquoise Sabra Pillow,pillows-throws,SHARED_BREAK,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/PILLOWS/Blue Green Lumbar.png,PILLOWS/Blue Green Lumbar.png,false,13,https://images.squarespace-cdn.com/content/v1/57239bd5f8baf385ff553066/fed6f260-3499-4787-875a-6ef2d939aba5/Blue+Turquoise+Sabra.png,squarespace_exact_title,high
2427,Blue Velvet Brocade Lumbar Pillow,pillows-throws,SHARED_BREAK,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/PILLOWS/Blue Velvet.png,PILLOWS/Blue Velvet.png,false,2,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/inventory/PILLOWS/Blue%20Velvet.png,storage_exact,high
3215,Blue Wild Bird Velvet Pillow,pillows-throws,SHARED_BREAK,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/PILLOWS/Blue Green Lumbar.png,PILLOWS/Blue Green Lumbar.png,false,13,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/inventory/PILLOWS/Blue%20Velvet.png,storage_exact,high
3458,Brown Cognac Leather Stitched,pillows-throws,UNIQUE,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/PILLOWS/Leather Stitched.png,PILLOWS/Leather Stitched.png,false,1,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/PILLOWS/Leather Stitched.png,keep_current,n/a
2241,Brown Fur / Mudcloth Long Oversize Pillow,pillows-throws,SHARED_BREAK,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/PILLOWS/Brown Grey fur.png,PILLOWS/Brown Grey fur.png,false,12,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/inventory/THROWS/FUR%20Brown%20Mudcloth%20Mongolian.png,storage_partial,medium
4079,Brown Grey Fur Pillow,pillows-throws,SHARED_BREAK,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/PILLOWS/Brown Grey fur.png,PILLOWS/Brown Grey fur.png,false,12,https://wdyfavzfquegrxklcpmq.supabase.co/storage/v1/object/public/inventory/inventory/PILLOWS/Brown%20Grey%20fur.png,storage_exact,high
