scraped_product_id,product_url,category_slug,product_slug,image_url,position,is_hero,inferred_filename,alt_text,source_page_url,image_source
f6b73764-b882-412a-91d6-85a25f4b5710,https://www.eclectichive.com/textiles/ivory-mud-cloth-pillow,textiles,ivory-mud-cloth-pillow,https://images.squarespace-cdn.com/content/v1/57239bd5f8baf385ff553066/f0412e13-1441-4f94-b934-90ac0936e61a/Ivory+Mudcloth.png?format=2500w,0,true,Ivory+Mudcloth.png,Ivory Mudcloth.png,https://www.eclectichive.com/textiles/ivory-mud-cloth-pillow,markdown
864fb17d-684a-474e-91b0-a00acd166f03,https://www.eclectichive.com/textiles/ivory-sage-stripe-pillow,textiles,ivory-sage-stripe-pillow,https://images.squarespace-cdn.com/content/v1/57239bd5f8baf385ff553066/b14a5dd9-8ea0-4dc2-a30a-c81c6402048f/Ivory+Sage+Stipe.png?format=2500w,0,true,Ivory+Sage+Stipe.png,Ivory Sage Stipe.png,https://www.eclectichive.com/textiles/ivory-sage-stripe-pillow,markdown
a916df2f-f9fa-42ba-a6c0-72183cc184c1,https://www.eclectichive.com/textiles/ivory-seamed-boucle,textiles,ivory-seamed-boucle,https://images.squarespace-cdn.com/content/v1/57239bd5f8baf385ff553066/7320c9eb-2787-4642-920c-287c26a88844/IVORY+Seamed+Boucle.png?format=2500w,0,true,IVORY+Seamed+Boucle.png,IVORY Seamed Boucle.png,https://www.eclectichive.com/textiles/ivory-seamed-boucle,markdown
e37a5851-84ce-4b9b-bee3-28969165b77a,https://www.eclectichive.com/textiles/leopard-fur-pillow,textiles,leopard-fur-pillow,https://images.squarespace-cdn.com/content/v1/57239bd5f8baf385ff553066/e0810a12-9bc8-4402-acf5-f49aecbc2f8c/Leopard+Fur.png?format=2500w,0,true,Leopard+Fur.png,Leopard Fur.png,https://www.eclectichive.com/textiles/leopard-fur-pillow,markdown
b3f606a7-9357-407d-8b45-3bfb50061c4b,https://www.eclectichive.com/textiles/leopard-print-reversible-velvet-pillow,textiles,leopard-print-reversible-velvet-pillow,https://images.squarespace-cdn.com/content/v1/57239bd5f8baf385ff553066/f4f3a483-b6b4-4b65-aa2f-822c295cc064/Leopard+Double.png?format=2500w,0,true,Leopard+Double.png,Leopard Double.png,https://www.eclectichive.com/textiles/leopard-print-reversible-velvet-pillow,markdown
b3f606a7-9357-407d-8b45-3bfb50061c4b,https://www.eclectichive.com/textiles/leopard-print-reversible-velvet-pillow,textiles,leopard-print-reversible-velvet-pillow,https://images.squarespace-cdn.com/content/v1/57239bd5f8baf385ff553066/6c9cca93-2a40-4ce2-af9c-bd40776021fc/Leopard+Reversible.png?format=2500w,1,false,Leopard+Reversible.png,Leopard Reversible.png,https://www.eclectichive.com/textiles/leopard-print-reversible-velvet-pillow,markdown
18a09a5f-d9b5-4659-bd9b-0e373724db1a,https://www.eclectichive.com/textiles/leopard-velvet-pillow,textiles,leopard-velvet-pillow,https://images.squarespace-cdn.com/content/v1/57239bd5f8baf385ff553066/3f1bbebb-fa2a-4690-be90-12feb672ec04/Leopard+Velvet.png?format=2500w,0,true,Leopard+Velvet.png,Leopard Velvet.png,https://www.eclectichive.com/textiles/leopard-velvet-pillow,markdown
72552074-a2eb-4865-b397-ccaeebd81edd,https://www.eclectichive.com/textiles/navajo-brick,textiles,navajo-brick,https://images.squarespace-cdn.com/content/v1/57239bd5f8baf385ff553066/1603824631900-HXRNTQO7TY7CAG3OAZZZ/Navajo_Cotton_Brick_0___1_.png?format=2500w,0,true,Navajo_Cotton_Brick_0___1_.png,Navajo_Cotton_Brick_0___1_.png,https://www.eclectichive.com/textiles/navajo-brick,markdown
5ed5c58a-772a-4397-83dd-26d10d6b3662,https://www.eclectichive.com/textiles/navajo-pink,textiles,navajo-pink,https://images.squarespace-cdn.com/content/v1/57239bd5f8baf385ff553066/1603824635271-MZ5GTAMUXW2D11UMSIB7/Navajo_Cotton_Pink_0__1_.png?format=2500w,0,true,Navajo_Cotton_Pink_0__1_.png,Navajo_Cotton_Pink_0__1_.png,https://www.eclectichive.com/textiles/navajo-pink,markdown
4df191d8-f5b1-4c23-8ce4-287ac5d95fa0,https://www.eclectichive.com/textiles/navajo-red,textiles,navajo-red,https://images.squarespace-cdn.com/content/v1/57239bd5f8baf385ff553066/1603824635978-32JXUTLG0UM6M73WXWT7/Navajo_Cotton_Red_0__1_.png?format=2500w,0,true,Navajo_Cotton_Red_0__1_.png,Navajo_Cotton_Red_0__1_.png,https://www.eclectichive.com/textiles/navajo-red,markdown
012d5687-3413-4acb-9a7c-540c934f2880,https://www.eclectichive.com/textiles/navajo-yellow,textiles,navajo-yellow,https://images.squarespace-cdn.com/content/v1/57239bd5f8baf385ff553066/1603824636645-XUMGMP5MMKVXW6E572BD/Navajo_Cotton_Yellow_0__1_.png?format=2500w,0,true,Navajo_Cotton_Yellow_0__1_.png,Navajo_Cotton_Yellow_0__1_.png,https://www.eclectichive.com/textiles/navajo-yellow,markdown
5e0aab18-7833-4608-a03c-29cf38ad6f66,https://www.eclectichive.com/textiles/orange-brown-textile-pillow,textiles,orange-brown-textile-pillow,https://images.squarespace-cdn.com/content/v1/57239bd5f8baf385ff553066/6ef1f92b-35b1-4caa-8f2e-b83dc87f6841/Orange+Uno.png?format=2500w,0,true,Orange+Uno.png,Orange Uno.png,https://www.eclectichive.com/textiles/orange-brown-textile-pillow,markdown
5e0aab18-7833-4608-a03c-29cf38ad6f66,https://www.eclectichive.com/textiles/orange-brown-textile-pillow,textiles,orange-brown-textile-pillow,https://images.squarespace-cdn.com/content/v1/57239bd5f8baf385ff553066/bde75c74-f8d6-4e84-9775-5560b511e38e/Orange+Textile+2.png?format=2500w,1,false,Orange+Textile+2.png,Orange Textile 2.png,https://www.eclectichive.com/textiles/orange-brown-textile-pillow,markdown
5e0aab18-7833-4608-a03c-29cf38ad6f66,https://www.eclectichive.com/textiles/orange-brown-textile-pillow,textiles,orange-brown-textile-pillow,https://images.squarespace-cdn.com/content/v1/57239bd5f8baf385ff553066/0f4ffcd5-f9cb-4969-9949-2988232f50c7/Orange+Textile+Tres.png?format=2500w,2,false,Orange+Textile+Tres.png,Orange Textile Tres.png,https://www.eclectichive.com/textiles/orange-brown-textile-pillow,markdown
34f03ea2-7fc2-4197-9313-75125c731145,https://www.eclectichive.com/textiles/orange-copper-velvet-fringe-lumbar,textiles,orange-copper-velvet-fringe-lumbar,https://images.squarespace-cdn.com/content/v1/57239bd5f8baf385ff553066/1b79ea1c-b6d4-4a72-80c6-e819c3793916/Orange+Copper+Lumbar.png?format=2500w,0,true,Orange+Copper+Lumbar.png,Orange Copper Lumbar.png,https://www.eclectichive.com/textiles/orange-copper-velvet-fringe-lumbar,markdown
3513ca8c-553b-4ec3-8e76-e392caa2e079,https://www.eclectichive.com/textiles/orange-ivory-native-pillow,textiles,orange-ivory-native-pillow,https://images.squarespace-cdn.com/content/v1/57239bd5f8baf385ff553066/dbd30f53-6f78-4be7-a565-65ffc7da3aa8/Orange+Ivory+Native.png?format=2500w,0,true,Orange+Ivory+Native.png,Orange Ivory Native.png,https://www.eclectichive.com/textiles/orange-ivory-native-pillow,markdown
fc8e1375-1230-412d-b3fa-6b759c37472d,https://www.eclectichive.com/textiles/orange-velvet-quilted-pillow,textiles,orange-velvet-quilted-pillow,https://images.squarespace-cdn.com/content/v1/57239bd5f8baf385ff553066/afac80f2-f926-442a-af85-e4ab2c6ca16f/Orange+Velvet+Quilted.png?format=2500w,0,true,Orange+Velvet+Quilted.png,Orange Velvet Quilted.png,https://www.eclectichive.com/textiles/orange-velvet-quilted-pillow,markdown
0e7454ae-3a16-41a6-952b-91f00d1722e4,https://www.eclectichive.com/textiles/pendleton-cross,textiles,pendleton-cross,https://images.squarespace-cdn.com/content/v1/57239bd5f8baf385ff553066/ab036d22-f5a7-4702-8b1f-51465b6f3e0c/PENDLETON+Grey+Cross.png?format=2500w,0,true,PENDLETON+Grey+Cross.png,PENDLETON Grey Cross.png,https://www.eclectichive.com/textiles/pendleton-cross,markdown
